	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Pcbp3	992.448648089906	-0.0255073694110302	0.0857814577734133	-0.29735294868043	0.766197061417051	0.999680625307699
Lgals9	946.809069666724	0.0961646658276356	0.0920899310991263	1.04424734256912	0.296370968495315	0.999680625307699
Araf	2761.20453934655	-0.016495093961855	0.0678532446783009	-0.243099560530376	0.807928271651392	0.999680625307699
Cfp	780.866868251037	0.10654330287455	0.0944182209308273	1.12841887746016	0.259143059080443	0.999680625307699
Timp1	773.637559407529	0.0280889108560672	0.490943312724389	0.0572141632812831	0.954374595974997	0.999680625307699
Uxt	47.6491596731057	0.220974056957251	0.269240497045763	0.820731128421933	0.411799435757811	0.999680625307699
Cnnm3	653.999988531005	0.0104128414277448	0.0875429339810915	0.118945538539911	0.9053185032908	0.999680625307699
Lman2l	932.588453620027	0.0233211676266876	0.0871359246962324	0.26764124794668	0.788975477568492	0.999680625307699
Mcm3ap	773.660468746796	-0.00780278523103332	0.0726591668061855	-0.107388861915343	0.914480490311817	0.999680625307699
Pcnt	618.409422286426	-0.115354009373132	0.105601639947533	-1.09235054901084	0.274679049864633	0.999680625307699
Ftcd	9.99620137415797	-0.552789091586103	0.651974298025761	-0.847869453228448	0.396510678160784	0.999680625307699
Mxd1	506.043810818928	-0.196122041350019	0.140303209596655	-1.39784429674726	0.162159829025308	0.999680625307699
Gmcl1	294.406757426433	-0.035574658391232	0.112890621169123	-0.31512501235986	0.752666738171036	0.999680625307699
Snrnp27	413.527800349765	0.126161107871743	0.107403444392582	1.17464675909831	0.240136067896218	0.999680625307699
Oas1c	34.1534175236137	-0.129608850467305	0.333636740843248	-0.388472954566474	0.697666064739954	0.999680625307699
Oas1h	2.49592996339465	-1.7390678166894	1.37923217658152	-1.26089562454942	0.20734645483486	0.999680625307699
Ocrl	703.953665296355	0.0217349954886137	0.0785128484257139	0.276833612898131	0.78190787006708	0.999680625307699
Calm1	5875.39374516019	0.0827646583439669	0.0472934887154952	1.7500222671636	0.0801144715001501	0.999680625307699
Agpat3	2324.0643098608	0.021838079915149	0.0595092942818612	0.366969230246868	0.713641969932733	0.999680625307699
Sema6b	685.792177257778	0.128885638865634	0.153967393892651	0.837096969735658	0.402538063581025	0.999680625307699
Uhrf1	111.99871311981	0.0766989334784765	0.21427876404939	0.357939965813868	0.720388241114992	0.999680625307699
Dpp9	1066.35450722175	0.0154914615922361	0.0699529830492594	0.221455339243036	0.824737907388611	0.999680625307699
Ramp2	1689.44938275993	0.148102759381483	0.124995521681818	1.18486452465461	0.236071015668763	0.999680625307699
Lsr	163.984584917188	0.318977977003904	0.203268225404924	1.56924662656191	0.116590483560451	0.999680625307699
Gramd1a	1292.51488863166	-0.114349379023001	0.078312653323684	-1.46016479036113	0.14424478953752	0.999680625307699
Hpn	99.3224715881103	-0.0323836107455781	0.190969653955116	-0.169574642226609	0.865344666263782	0.999680625307699
Gabrg1	0.984324638124128	-0.00708308250551669	1.74570762833535	-0.00405742771042988	0.996762649955874	0.999680625307699
Ckb	10968.4776113096	-0.0197416410252213	0.055876914092879	-0.353305857091653	0.723859154996586	0.999680625307699
Sp1	968.379568930445	0.00760629470598354	0.0805137467538881	0.0944720002813213	0.924734223488228	0.999680625307699
Itgb7	351.487028832883	0.0991426220721694	0.164480347361852	0.602762723099426	0.546666548411038	0.999680625307699
Myg1	450.903200626223	-0.0895451790224207	0.101253246325216	-0.884368474812256	0.376497335124616	0.999680625307699
